Date,Open,High,Low,Close,Adj Close,Volume
2017-12-28,1.210000,1.310000,1.100000,1.260000,1.260000,346845252
2017-12-29,1.260000,1.970000,1.250000,1.930000,1.930000,1092825146
2017-12-30,1.930000,2.440000,1.770000,1.860000,1.860000,1565228735
2017-12-31,1.860000,2.090000,1.610000,1.980000,1.980000,514273018
2018-01-01,1.980000,2.090000,1.810000,2.050000,2.050000,232757444
2018-01-02,2.050000,2.210000,1.890000,2.190000,2.190000,418605330
2018-01-03,2.190000,2.850000,2.150000,2.730000,2.730000,986250815
2018-01-04,2.730000,3.290000,2.580000,2.730000,2.730000,1299128128
2018-01-05,2.730000,3.050000,2.240000,2.510000,2.510000,1002020058
2018-01-06,2.510000,2.850000,2.460000,2.650000,2.650000,398736590
2018-01-07,2.650000,2.820000,2.580000,2.780000,2.780000,272359641
2018-01-08,2.780000,2.780000,1.930000,2.410000,2.410000,535353427
2018-01-09,2.410000,2.500000,1.920000,2.060000,2.060000,480316287
2018-01-10,2.060000,2.130000,1.630000,1.950000,1.950000,761397002
2018-01-11,1.950000,2.240000,1.560000,1.930000,1.930000,1018947968
2018-01-12,1.930000,2.160000,1.810000,2.020000,2.020000,429715482
2018-01-13,2.020000,2.100000,1.960000,2.000000,2.000000,194844832
2018-01-14,2.000000,2.000000,1.760000,1.830000,1.830000,185909079
2018-01-15,1.830000,1.880000,1.630000,1.660000,1.660000,178452052
2018-01-16,1.660000,1.680000,0.869600,1.150000,1.150000,970771226
2018-01-17,1.150000,1.380000,0.874700,1.310000,1.310000,929665358
2018-01-18,1.310000,1.730000,1.230000,1.570000,1.570000,877858800
2018-01-19,1.570000,1.680000,1.470000,1.540000,1.540000,401871655
2018-01-20,1.540000,1.630000,1.480000,1.570000,1.570000,249160785
2018-01-21,1.570000,1.570000,1.310000,1.370000,1.370000,345641735
2018-01-22,1.370000,1.420000,1.140000,1.340000,1.340000,392473700
2018-01-23,1.340000,1.440000,1.180000,1.340000,1.340000,421893589
2018-01-24,1.340000,1.420000,1.290000,1.360000,1.360000,245746147
2018-01-25,1.360000,1.380000,1.280000,1.300000,1.300000,137374141
2018-01-26,1.300000,1.320000,1.110000,1.210000,1.210000,249741656
2018-01-27,1.210000,1.240000,1.180000,1.220000,1.220000,107159051
2018-01-28,1.220000,1.230000,1.220000,1.230000,1.230000,10595863
