Date,Open,High,Low,Close,Adj Close,Volume
2017-12-28,0.227000,0.227000,0.192200,0.217400,0.217400,5312919
2017-12-29,0.217400,0.330000,0.215500,0.317000,0.317000,19734849
2017-12-30,0.316000,0.370000,0.259000,0.309000,0.309000,35282622
2017-12-31,0.304300,0.358600,0.295300,0.354000,0.354000,11174996
2018-01-01,0.354000,0.523100,0.352100,0.484000,0.484000,39488868
2018-01-02,0.484800,0.589800,0.462000,0.556000,0.556000,33302719
2018-01-03,0.557000,0.919900,0.552400,0.884800,0.884800,74226922
2018-01-04,0.886000,0.910000,0.625000,0.695000,0.695000,42369529
2018-01-05,0.694800,0.780000,0.535300,0.640000,0.640000,31464609
2018-01-06,0.635100,0.770000,0.581000,0.687100,0.687100,18465487
2018-01-07,0.688300,0.734900,0.672000,0.705000,0.705000,8068742
2018-01-08,0.705400,0.709000,0.517500,0.614000,0.614000,11831875
2018-01-09,0.614000,0.643000,0.547800,0.561400,0.561400,7472842
2018-01-10,0.569800,0.574400,0.464900,0.559000,0.559000,14151751
2018-01-11,0.558000,0.630000,0.420000,0.556700,0.556700,22895295
2018-01-12,0.558100,0.711300,0.519500,0.672000,0.672000,16004425
2018-01-13,0.672000,0.718000,0.622000,0.658000,0.658000,7283422
2018-01-14,0.659400,0.659400,0.564900,0.619600,0.619600,6012312
2018-01-15,0.619400,0.674000,0.590000,0.597900,0.597900,5229604
2018-01-16,0.595100,0.602000,0.320000,0.430100,0.430100,21376502
2018-01-17,0.430000,0.504400,0.300500,0.471000,0.471000,19009891
2018-01-18,0.475000,0.561800,0.440000,0.492000,0.492000,18244113
2018-01-19,0.492000,0.525000,0.463000,0.500000,0.500000,5765072
2018-01-20,0.500000,0.550000,0.489100,0.526000,0.526000,7087553
2018-01-21,0.526000,0.530000,0.431000,0.451300,0.451300,5650604
2018-01-22,0.460000,0.530000,0.420000,0.478000,0.478000,10784567
2018-01-23,0.478000,0.518000,0.429000,0.483800,0.483800,7578553
2018-01-24,0.484000,0.590000,0.470000,0.568700,0.568700,15182066
2018-01-25,0.568700,0.648000,0.550000,0.608000,0.608000,14160008
2018-01-26,0.608000,0.648200,0.544000,0.627100,0.627100,12969906
2018-01-27,0.627100,0.639900,0.606000,0.618500,0.618500,4809939
2018-01-28,0.618500,0.624700,0.607400,0.617000,0.617000,452176
